number,name,form,classification,type-1,type-2,ability-1,ability-2,ability-hidden,predecessors,successors,Red,Green,Blue,Yellow,Gold,Silver,Crystal,Ruby,Sapphire,Fire Red,Leaf Green,Emerald,Colosseum,XD,Diamond,Pearl,Platinum,Heart Gold,Soul Silver,Black,White,Black 2,White 2,X,Y,Omega Ruby,Alpha Sapphire,Sun,Moon,Ultra Sun,Ultra Moon,Let's Go Pikachu!,Let's Go Eevee!,Sword,Shield,Brilliant Diamond,Shining Pearl,Legends Arceus,Scarlet,Violet
571b,Zoroark,Hisuian,,Normal,Ghost,Illusion,,,570b,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,Ev,Ev
572,Minccino,,,Normal,,Cute Charm,Technician,Skill Link,,573,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,FS,FS,C,C,T,T,C,C,—,—,C,C,—,—,—,CD,CD
573,Cinccino,,,Normal,,Cute Charm,Technician,Skill Link,572,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,FSE,FSE,E,E,T,T,E,E,—,—,C,C,—,—,—,CD,CD
574,Gothita,,,Psychic,,Frisk,Competitive,Shadow Tag,,575,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,T,C,EvB,B,B,C,C,S,S,T,T,—,—,C,T,—,—,—,C,C
575,Gothorita,,,Psychic,,Frisk,Competitive,Shadow Tag,574,576,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,T,C,Ev,C,C,E,E,E,E,T,T,—,—,C,T,—,—,—,C,C
576,Gothitelle,,,Psychic,,Frisk,Competitive,Shadow Tag,575,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,T,C,EvE,E,E,E,E,E,E,T,T,—,—,C,T,—,—,—,C,C
577,Solosis,,,Psychic,,Overcoat,Magic Guard,Regenerator,,578,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,T,C,DWB,C,C,C,T,T,B,B,T,T,—,—,T,C,—,—,—,CD,CD
578,Duosion,,,Psychic,,Overcoat,Magic Guard,Regenerator,577,579,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,T,C,DW,C,E,E,T,T,S,S,T,T,—,—,T,C,—,—,—,CD,CD
579,Reuniclus,,,Psychic,,Overcoat,Magic Guard,Regenerator,578,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,T,C,DWE,C,E,E,T,T,E,E,T,T,—,—,T,C,—,—,—,CD,CD
580,Ducklett,,,Water,Flying,Keen Eye,Big Pecks,Hydration,,581,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,C,C,T,T,T,T,B,B,—,—,—,—,—,—,—,CD,CD
581,Swanna,,,Water,Flying,Keen Eye,Big Pecks,Hydration,580,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,E,E,T,T,T,T,C,C,—,—,—,—,—,—,—,CD,CD
582,Vanillite,,,Ice,,Ice Body,Snow Cloak,Weak Armor,,583,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,B,B,C,C,T,T,C,C,C,C,—,—,C,C,—,—,—,—,—
583,Vanillish,,,Ice,,Ice Body,Snow Cloak,Weak Armor,582,584,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,E,E,T,T,C,C,C,C,—,—,C,C,—,—,—,—,—
584,Vanilluxe,,,Ice,,Ice Body,Snow Warning,Weak Armor,583,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,E,C,C,E,E,T,T,E,E,C,C,—,—,C,C,—,—,—,—,—
585a,Deerling,Spring Form,,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,,586a,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,FSB,FSB,C,C,T,T,T,T,—,—,—,—,—,—,—,C,C
585b,Deerling,Summer Form,,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,,586b,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,FSB,FSB,C,C,T,T,T,T,—,—,—,—,—,—,—,C,C
585c,Deerling,Autumn Form,,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,,586c,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,FSB,FSB,C,C,T,T,T,T,—,—,—,—,—,—,—,C,C
585d,Deerling,Winter Form,,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,,586d,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,FSB,FSB,C,C,T,T,T,T,—,—,—,—,—,—,—,C,C
586a,Sawsbuck,Spring Form,,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,,585a,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,FS,FS,E,E,T,T,T,T,—,—,—,—,—,—,—,C,C
586b,Sawsbuck,Summer Form,,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,,585b,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,FS,FS,E,E,T,T,T,T,—,—,—,—,—,—,—,C,C
586c,Sawsbuck,Autumn Form,,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,,585c,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,FS,FS,E,E,T,T,T,T,—,—,—,—,—,—,—,C,C
586d,Sawsbuck,Winter Form,,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,,585d,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,FS,FS,E,E,T,T,T,T,—,—,—,—,—,—,—,C,C
587,Emolga,,,Electric,Flying,Static,,Motor Drive,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,C,C,T,T,C,C,C,C,—,—,CD,CD,—,—,—,—,—
588,Karrablast,,,Bug,,Swarm,Shed Skin,No Guard,,589,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,C,C,T,T,T,T,T,T,—,—,C,C,—,—,—,—,—
589,Escavalier,,,Bug,Steel,Swarm,Shell Armor,Overcoat,588,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,ET,ET,ET,ET,ET,ET,T,T,T,T,T,T,—,—,D,CD,—,—,—,—,—
590,Foongus,,,Grass,Poison,Effect Spore,,Regenerator,,591,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,C,C,T,T,T,T,T,T,—,—,CD,CD,—,—,—,C,C
591,Amoonguss,,,Grass,Poison,Effect Spore,,Regenerator,590,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,C,C,T,T,T,T,T,T,—,—,CD,CD,—,—,—,C,C
592a,Frillish,Male,,Water,Ghost,Water Absorb,Cursed Body,Damp,,593a,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,T,T,C,C,T,T,C,C,—,—,C,C,—,—,—,—,—
592b,Frillish,Female,,Water,Ghost,Water Absorb,Cursed Body,Damp,,593b,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,T,T,C,C,T,T,C,C,—,—,C,C,—,—,—,—,—
593a,Jellicent,Male,,Water,Ghost,Water Absorb,Cursed Body,Damp,592a,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,T,T,E,E,T,T,E,E,—,—,C,C,—,—,—,—,—
593b,Jellicent,Female,,Water,Ghost,Water Absorb,Cursed Body,Damp,592b,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,T,T,E,E,T,T,E,E,—,—,C,C,—,—,—,—,—
594,Alomomola,,,Water,,Healer,Hydration,Regenerator,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,C,C,C,C,C,C,C,C,—,—,—,—,—,—,—,C,C
595,Joltik,,,Bug,Electric,Compound Eyes,Unnerve,Swarm,,596,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,FSB,FSB,C,C,T,T,T,T,—,—,C,C,—,—,—,CD,CD
596,Galvantula,,,Bug,Electric,Compound Eyes,Unnerve,Swarm,595,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,E,E,E,FS,FS,E,E,T,T,T,T,—,—,C,C,—,—,—,CD,CD
597,Ferroseed,,,Grass,Steel,Iron Barbs,,,,598,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,C,C,T,T,T,T,T,T,—,—,C,C,—,—,—,—,—
598,Ferrothorn,,,Grass,Steel,Iron Barbs,,Anticipation,597,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,E,E,E,E,E,T,T,T,T,T,T,—,—,C,C,—,—,—,—,—
599,Klink,,,Steel,,Plus,Minus,Clear Body,,600,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,FSB,FSB,C,C,S,S,T,T,—,—,C,C,—,—,—,—,—
600,Klang,,,Steel,,Plus,Minus,Clear Body,599,601,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,E,C,C,FS,FS,E,E,E,E,T,T,—,—,C,C,—,—,—,—,—
601,Klinklang,,,Steel,,Plus,Minus,Clear Body,600,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,E,C,C,FSE,FSE,E,E,E,E,T,T,—,—,C,C,—,—,—,—,—
602,Tynamo,,,Electric,,Levitate,,,,603,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,T,T,C,C,B,B,B,B,—,—,—,—,—,—,—,C,C
603,Eelektrik,,,Electric,,Levitate,,,602,604,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,E,C,C,T,T,E,E,B,B,B,B,—,—,—,—,—,—,—,C,C
604,Eelektross,,,Electric,,Levitate,,,603,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,E,E,E,T,T,E,E,S,S,S,S,—,—,—,—,—,—,—,C,C
605,Elgyem,,,Psychic,,Telepathy,Synchronize,Analytic,,606,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,T,T,C,C,T,T,C,C,—,—,C,C,—,—,—,—,—
606,Beheeyem,,,Psychic,,Telepathy,Synchronize,Analytic,605,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,E,E,T,T,E,E,T,T,E,E,—,—,C,C,—,—,—,—,—
607,Litwick,,,Ghost,Fire,Flash Fire,Flame Body,Infiltrator,,608,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,C,C,T,T,S,S,S,S,—,—,C,C,—,—,—,CD,CD
608,Lampent,,,Ghost,Fire,Flash Fire,Flame Body,Infiltrator,607,609,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,E,E,E,E,E,T,T,E,E,E,E,—,—,C,C,—,—,—,CD,CD
609,Chandelure,,,Ghost,Fire,Flash Fire,Flame Body,Infiltrator,608,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,E,E,E,E,E,T,T,E,E,E,E,—,—,C,C,—,—,—,CD,CD
610,Axew,,,Dragon,,Rivalry,Mold Breaker,Unnerve,,611,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,C,C,C,C,S,S,S,S,—,—,C,C,—,—,—,C,C
611,Fraxure,,,Dragon,,Rivalry,Mold Breaker,Unnerve,610,612,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,E,E,E,E,E,E,E,E,—,—,D,D,—,—,—,C,C
612,Haxorus,,,Dragon,,Rivalry,Mold Breaker,Unnerve,611,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,E,C,C,E,E,E,E,E,E,E,E,—,—,C,C,—,—,—,C,C
613,Cubchoo,,,Ice,,Snow Cloak,Slush Rush,Rattled,,614,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,C,C,C,C,T,T,T,T,—,—,C,C,—,—,—,C,C
614,Beartic,,,Ice,,Snow Cloak,Slush Rush,Swift Swim,613,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,C,C,E,E,T,T,T,T,—,—,C,C,—,—,—,C,C
615,Cryogonal,,,Ice,,Levitate,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,C,C,T,T,T,T,T,T,—,—,CD,CD,—,—,—,C,C
616,Shelmet,,,Bug,,Hydration,Shell Armor,Overcoat,,617,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,C,C,T,T,T,T,T,T,—,—,C,C,—,—,—,—,—
617,Accelgor,,,Bug,,Hydration,Sticky Hold,Unburden,616,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,ET,ET,ET,ET,ET,ET,T,T,T,T,T,T,—,—,CD,D,—,—,—,—,—
618a,Stunfisk,Normal,,Ground,Electric,Static,Limber,Sand Veil,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,C,C,T,T,T,T,C,C,—,—,RD,RD,—,—,—,—,—
618b,Stunfisk,Galarian,,Ground,Steel,Mimicry,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,—,—
619,Mienfoo,,,Fighting,,Inner Focus,Regenerator,Reckless,,620,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,C,C,T,T,T,T,C,C,—,—,CD,CD,—,—,—,CD,CD
620,Mienshao,,,Fighting,,Inner Focus,Regenerator,Reckless,619,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,E,E,T,T,T,T,E,E,—,—,CD,CD,—,—,—,CD,CD
621,Druddigon,,,Dragon,,Rough Skin,Sheer Force,Mold Breaker,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,C,C,C,C,T,T,C,C,—,—,CD,CD,—,—,—,—,—
622,Golett,,,Ground,Ghost,Iron Fist,Klutz,No Guard,,623,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,B,B,C,C,T,T,T,T,C,T,—,—,C,C,—,—,—,CD,CD
623,Golurk,,,Ground,Ghost,Iron Fist,Klutz,No Guard,622,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,E,C,C,E,E,T,T,T,T,E,T,—,—,C,C,—,—,—,CD,CD
624,Pawniard,,,Dark,Steel,Defiant,Inner Focus,Pressure,,625,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,C,C,T,T,T,T,C,C,—,—,C,C,—,—,—,C,C
625,Bisharp,,,Dark,Steel,Defiant,Inner Focus,Pressure,624,983,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,E,E,R,R,T,T,T,T,C,C,—,—,C,C,—,—,—,C,C
626,Bouffalant,,,Normal,,Reckless,Sap Sipper,Soundproof,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,T,T,C,C,T,T,T,T,—,—,CD,CD,—,—,—,—,—
627,Rufflet,,,Normal,Flying,Keen Eye,Sheer Force,Hustle,,"628a,628b",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,T,C,T,C,FS,FS,C,C,C,T,C,T,—,—,C,T,—,—,C,C,C
628a,Braviary,Normal,,Normal,Flying,Keen Eye,Sheer Force,Defiant,627,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,T,C,T,C,FSE,FSE,C,C,C,T,C,T,—,—,C,T,—,—,—,C,C
628b,Braviary,Hisuian,,Psychic,Flying,Keen Eye,Sheer Force,Tinted Lens,627,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,TE,TE
629,Vullaby,,,Dark,Flying,Big Pecks,Overcoat,Weak Armor,,630,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,T,C,T,FS,FS,C,C,T,C,T,C,—,—,T,C,—,—,—,CD,CD
630,Mandibuzz,,,Dark,Flying,Big Pecks,Overcoat,Weak Armor,629,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,T,C,T,FSE,FSE,E,E,T,C,T,C,—,—,T,C,—,—,—,CD,CD
631,Heatmor,,,Fire,,Gluttony,Flash Fire,White Smoke,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,C,C,T,T,T,T,T,T,—,—,C,C,—,—,—,—,—
632,Durant,,,Bug,Steel,Swarm,Hustle,Truant,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,C,C,T,T,T,T,T,T,—,—,C,C,—,—,—,—,—
633,Deino,,,Dark,Dragon,Hustle,,,,634,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,B,B,B,B,C,C,S,S,T,T,—,—,C,T,—,—,—,C,CC
634,Zweilous,,,Dark,Dragon,Hustle,,,633,635,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,E,C,C,C,C,E,E,E,E,T,T,—,—,C,T,—,—,—,C,CC
635,Hydreigon,,,Dark,Dragon,Levitate,,,634,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,E,E,E,C,C,E,E,E,E,T,T,—,—,D,T,—,—,—,C,CC
636,Larvesta,,,Bug,Fire,Flame Body,,Swarm,,637,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,R,R,B,B,FS,FS,C,C,T,T,C,C,—,—,CD,CD,—,—,—,C,C
637,Volcarona,,,Bug,Fire,Flame Body,,Swarm,636,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,FSE,FSE,E,E,T,T,C,C,—,—,CD,CD,—,—,—,C,C
638,Cobalion,,Legendary,Steel,Fighting,Justified,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,T,T,C,C,T,T,C,C,—,—,CD,CD,—,—,—,CCD,CD
639,Terrakion,,Legendary,Rock,Fighting,Justified,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,T,T,C,C,T,T,C,C,—,—,CD,CD,—,—,—,CCD,CD
640,Virizion,,Legendary,Grass,Fighting,Justified,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,T,T,C,C,T,T,C,C,—,—,CD,CD,—,—,—,CCD,CD
641a,Tornadus,Incarnate Forme,Legendary,Flying,,Prankster,,Defiant,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,Ev,DR,DR,T,T,C,T,T,Ev,C,Ev,—,—,DA,CCDA,—,—,C,T,T
641b,Tornadus,Therian Forme,Legendary,Flying,,Prankster,,Defiant,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,Ev,DR,DR,T,T,C,T,T,Ev,C,Ev,—,—,DA,CCDA,—,—,C,T,T
642a,Thundurus,Incarnate Forme,Legendary,Electric,Flying,Prankster,,Defiant,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Ev,C,DR,DR,T,T,T,C,Ev,T,Ev,C,—,—,CCDA,DA,—,—,C,T,T
642b,Thundurus,Therian Forme,Legendary,Electric,Flying,Prankster,,Defiant,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Ev,C,DR,DR,T,T,T,C,Ev,T,Ev,C,—,—,CCDA,DA,—,—,C,T,T
643,Reshiram,,Legendary,Dragon,Fire,Turboblaze,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,Ev,T,C,T,T,C,T,T,Ev,C,Ev,—,—,DA,CCDA,—,—,—,CD,CCD
644,Zekrom,,Legendary,Dragon,Electric,Teravolt,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Ev,C,C,T,T,T,T,C,Ev,T,Ev,C,—,—,CCDA,DA,—,—,—,CCD,CD
645a,Landorus,Incarnate Forme,Legendary,Ground,Flying,Sand Force,,Sheer Force,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,CC,CC,DR,DR,T,T,CC,CC,T,T,CC,CC,—,—,DA,DA,—,—,C,T,T
645b,Landorus,Therian Forme,Legendary,Ground,Flying,Sand Force,,Sheer Force,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,CC,CC,DR,DR,T,T,CC,CC,T,T,CC,CC,—,—,DA,DA,—,—,C,T,T
646,Kyurem,,Legendary,Dragon,Ice,Pressure,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,Ev,Ev,CC,CC,T,T,CC,CC,—,—,DA,DA,—,—,—,CCD,CCD
647a,Keldeo,Ordinary Form,Mythical,Water,Fighting,Justified,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,T,T,T,T,—,—,CD,CD,—,—,—,T,T
647b,Keldeo,Resolute Form,Mythical,Water,Fighting,Justified,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,T,T,T,T,—,—,CD,CD,—,—,—,T,T
648a,Meloetta,Aria Forme,Mythical,Normal,Psychic,Serene Grace,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,—,—,—,—,—,—,—,CD,CD
648b,Meloetta,Pirouette Forme,Mythical,Normal,Fighting,Serene Grace,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,—,—,—,—,—,—,—,CD,CD
649,Genesect,,Mythical,Bug,Steel,Download,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,T,T,T,T,—,—,Ev,Ev,—,—,—,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,Chespin,,,Grass,,Overgrow,,Bulletproof,,651,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,R,R,T,T,T,T,B,B,—,—,—,—,—,—,—,CD,CD
651,Quilladin,,,Grass,,Overgrow,,Bulletproof,650,652,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,E,T,T,T,T,B,B,—,—,—,—,—,—,—,ED,ED
652,Chesnaught,,,Grass,Fighting,Overgrow,,Bulletproof,651,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,E,T,T,T,T,S,S,—,—,—,—,—,—,—,ED,ED
653,Fennekin,,,Fire,,Blaze,,Magician,,654,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,R,R,Ev,Ev,T,T,B,B,—,—,—,—,—,—,—,CD,CD
654,Braixen,,,Fire,,Blaze,,Magician,653,655,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,E,EvE,EvE,T,T,B,B,—,—,—,—,—,—,—,ED,ED
655,Delphox,,,Fire,Psychic,Blaze,,Magician,654,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,E,EvE,EvE,T,T,S,S,—,—,—,—,—,—,—,ED,ED
656,Froakie,,,Water,,Torrent,,Protean,,657,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,R,R,Ev,Ev,T,T,B,B,—,—,—,—,—,—,—,CD,CD
657,Frogadier,,,Water,,Torrent,,Protean,656,658a,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,E,EvE,EvE,T,T,B,B,—,—,—,—,—,—,—,ED,ED
658a,Greninja,,,Water,Dark,Torrent,,Protean,657,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,E,Ev,Ev,Ev,Ev,S,S,—,—,—,—,—,—,—,ED,ED
658b,Greninja,Ash-Greninja,,Water,Dark,Battle Bond,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Ev,Ev,—,—,—,—,—,—,—,—,—
659,Bunnelby,,,Normal,,Pickup,Cheek Pouch,Huge Power,,660,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,T,T,T,T,T,T,—,—,C,C,—,—,—,—,—
660,Diggersby,,,Normal,Ground,Pickup,Cheek Pouch,Huge Power,659,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,T,T,T,T,T,T,—,—,C,C,—,—,—,—,—
661,Fletchling,,,Fire,Flying,Big Pecks,,Gale Wings,,662,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,T,T,C,C,C,C,—,—,CD,CD,—,—,—,C,C
662,Fletchinder,,,Fire,Flying,Flame Body,,Gale Wings,661,663,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,E,T,T,C,C,C,C,—,—,CD,CD,—,—,—,C,C
663,Talonflame,,,Fire,Flying,Flame Body,,Gale Wings,662,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,E,T,T,R,R,E,E,—,—,CD,CD,—,—,—,C,C
664,Scatterbug,,,Bug,,Shield Dust,Compound Eyes,Friend Guard,,665,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,T,T,T,T,S,S,—,—,—,—,—,—,—,C,C
665,Spewpa,,,Bug,,Shed Skin,,Friend Guard,664,"666a,666b,666c,666d,666e,666f,666g,666h,666i,666j,666k,666l,666m,666n,666o,666p,666q,666r,666s,666t",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,T,T,T,T,E,E,—,—,—,—,—,—,—,C,C
666a,Vivillon,Pattern: Archipelago,,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,665,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,E,Ev,Ev,T,T,E,E,—,—,—,—,—,—,—,C,C
